Player,Tm,Age,Att,Yds,TD,Lng,YA,YG,Fmb
Ezekiel Elliott,DAL,23,304,1434,6,41,4.7,95.6,6
Saquon Barkley,NYG,21,261,1307,11,78,5,81.7,0
David Johnson,ARI,27,258,940,7,53,3.6,58.8,3
Todd Gurley,LAR,24,256,1251,17,36,4.9,89.4,1
Adrian Peterson,WAS,33,251,1042,7,90,4.2,65.1,3
Jordan Howard,CHI,24,250,935,9,42,3.7,58.4,2
Chris Carson,SEA,24,247,1151,9,61,4.7,82.2,3
Joe Mixon,CIN,22,237,1168,8,51,4.9,83.4,0
Peyton Barber,TAM,24,234,871,5,28,3.7,54.4,1
Christian McCaffrey,CAR,22,219,1098,7,59,5,68.6,4
James Conner,PIT,23,215,973,12,30,4.5,74.8,4
Derrick Henry,TEN,24,215,1059,12,99,4.9,66.2,1
Lamar Miller,HOU,27,210,973,5,97,4.6,69.5,1
Sony Michel,NWE,23,209,931,6,34,4.5,71.6,1
Marlon Mack,IND,22,195,908,9,49,4.7,75.7,2
Alvin Kamara,NOR,23,194,883,14,49,4.6,58.9,1
Nick Chubb,CLE,23,192,996,8,92,5.2,62.3,0
Phillip Lindsay,DEN,24,192,1037,9,65,5.4,69.1,0
Kareem Hunt,KAN,23,181,824,7,45,4.6,74.9,0
Melvin Gordon,LAC,25,175,885,10,34,5.1,73.8,1
Carlos Hyde,2TM,28,172,571,5,22,3.3,40.8,2
Doug Martin,OAK,29,172,723,4,29,4.2,45.2,3
Tevin Coleman,ATL,25,167,800,4,65,4.8,50,2
LeSean McCoy,BUF,30,161,514,3,28,3.2,36.7,0
Frank Gore,MIA,35,156,722,0,39,4.6,51.6,1
Dion Lewis,TEN,28,155,517,1,36,3.3,32.3,1
LeGarrette Blount,DET,32,154,418,5,27,2.7,26.1,2
Matt Breida,SFO,23,153,814,3,66,5.3,58.1,1
Alfred Blue,HOU,27,150,499,2,17,3.3,31.2,0
Lamar Jackson,BAL,21,147,695,5,39,4.7,43.4,12
Isaiah Crowell,NYJ,25,143,685,6,77,4.8,52.7,0
Latavius Murray,MIN,28,140,578,6,38,4.1,36.1,0
Mark Ingram,NOR,29,138,645,6,38,4.7,53.8,3
Gus Edwards,BAL,23,137,718,2,43,5.2,65.3,0
Dalvin Cook,MIN,23,133,615,2,70,4.6,55.9,2
Leonard Fournette,JAX,23,133,439,5,25,3.3,54.9,0
Aaron Jones,GNB,24,133,728,8,67,5.5,60.7,1
Royce Freeman,DEN,22,130,521,5,24,4,37.2,1
Jamaal Williams,GNB,23,121,464,3,20,3.8,29,0
Josh Adams,PHI,22,120,511,3,29,4.3,36.5,1
Kenyan Drake,MIA,24,120,535,4,54,4.5,33.4,2
Kerryon Johnson,DET,21,118,641,3,71,5.4,64.1,1
Chris Ivory,BUF,30,115,385,1,21,3.3,29.6,1
Alex Collins,BAL,24,114,411,7,19,3.6,41.1,3
Mike Davis,SEA,25,112,514,4,37,4.6,34.3,0
Alfred Morris,SFO,30,111,428,2,51,3.9,35.7,2
Austin Ekeler,LAC,23,106,554,3,41,5.2,39.6,1
T.J. Yeldon,JAX,25,104,414,1,20,4,29.6,1
Cam Newton,CAR,29,101,488,4,29,4.8,34.9,6
Tarik Cohen,CHI,23,99,444,3,32,4.5,27.8,7
Deshaun Watson,HOU,23,99,551,5,34,5.6,34.4,9
James White,NWE,26,94,425,5,27,4.5,26.6,0
Elijah McGuire,NYJ,24,92,276,3,34,3,34.5,2
Marshawn Lynch,OAK,32,90,376,3,52,4.2,62.7,0
Ito Smith,ATL,23,90,315,4,18,3.5,22.5,1
Josh Allen,BUF,22,89,631,8,45,7.1,52.6,8
Wendell Smallwood,PHI,24,87,364,3,15,4.2,22.8,2
Nyheim Hines,IND,22,85,314,2,18,3.7,19.6,1
Rashaad Penny,SEA,22,85,419,2,38,4.9,29.9,0
